1134400443 9088774352814730472
1019826615 -1108022532412915125
1101170442 -4983923686688382165
1038402501 1302313812802427996
1145890188 -6806501455957443682
1136605823 -5915038266729854728
1075101206 7834794497463532359
1199979298 7160916523712282414
1203560567 -4449714648337266314
1229197937 -7965993928615458090
1308785417 3425459714577710377
1063908560 5478513049670659323
1434446385 2825528617634562025
1300011741 4552762456438444136
1239405989 4933427269216554844
1432156247 -3285438389889707289
1138179385 -4519355928169771925
1152653774 -4454995894407846940
1387488241 -490242709348862492
1141428052 6720119486835208878
1408960847 -7238877480878065257
1347991731 -8034085764817934780
1254719167 -8694748419457945289
1066174394 -6478343639020557893
1401088738 3498099948764428120
1202387323 8497068330085229354
1111651982 -2560588376667481798
1133374153 -5686585121893411544
1137503644 -3173459187091695905
